match_no,ballnumber,inningno,over,outcome,batter,bowler,comment,score
40,63,2,10.2,0,Miller,Washington Sundar,"Washington Sundar to Miller, no run",0
40,64,2,10.3,1,Miller,Washington Sundar,"Washington Sundar to Miller, 1 run",1
40,65,2,10.4,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
40,66,2,10.5,1,Miller,Washington Sundar,"Washington Sundar to Miller, 1 run",1
40,67,2,10.6,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
40,68,2,11.1,1,W Saha,Marco Jansen,"Marco Jansen to W Saha, 1 run",1
40,69,2,11.2,1,Miller,Marco Jansen,"Marco Jansen to Miller, 1 run",1
40,70,2,11.3,1wd,W Saha,Marco Jansen,"Marco Jansen to W Saha, 1 wide",1
40,71,2,11.3,1,W Saha,Marco Jansen,"Marco Jansen to W Saha, 1 run",1
40,72,2,11.4,1,Miller,Marco Jansen,"Marco Jansen to Miller, 1 run",1
40,73,2,11.5,4,W Saha,Marco Jansen,"Marco Jansen to W Saha, Four runs",4
40,74,2,11.6,4,W Saha,Marco Jansen,"Marco Jansen to W Saha, Four runs",4
40,75,2,12.1,1,Miller,Washington Sundar,"Washington Sundar to Miller, 1 run",1
40,76,2,12.2,4,W Saha,Washington Sundar,"Washington Sundar to W Saha, Four runs",4
40,77,2,12.3,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
40,78,2,12.4,1wd,Miller,Washington Sundar,"Washington Sundar to Miller, 2 wide",2
40,79,2,12.4,1,W Saha,Washington Sundar,"Washington Sundar to W Saha, 1 run",1
40,80,2,12.5,2,Miller,Washington Sundar,"Washington Sundar to Miller, 2 runs",2
40,81,2,12.6,1,Miller,Washington Sundar,"Washington Sundar to Miller, 1 run",1
40,82,2,13.1,1,Miller,Umran Malik,"Umran Malik to Miller, 1 run",1
40,83,2,13.2,w,W Saha,Umran Malik,"Umran Malik to W Saha, no run Wicket - b Umran Malik batsmen",0
40,84,2,13.3,0,Rahul Tewatia,Umran Malik,"Umran Malik to Rahul Tewatia, no run",0
40,85,2,13.4,4,Rahul Tewatia,Umran Malik,"Umran Malik to Rahul Tewatia, Four runs",4
40,86,2,13.5,1,Rahul Tewatia,Umran Malik,"Umran Malik to Rahul Tewatia, 1 run",1
40,87,2,13.6,0,Miller,Umran Malik,"Umran Malik to Miller, no run",0
40,88,2,14.1,1,Rahul Tewatia,Bhuvneshwar,"Bhuvneshwar to Rahul Tewatia, 1 run",1
40,89,2,14.2,0,Miller,Bhuvneshwar,"Bhuvneshwar to Miller, no run",0
40,90,2,14.3,1,Miller,Bhuvneshwar,"Bhuvneshwar to Miller, 1 run",1
40,91,2,14.4,4,Rahul Tewatia,Bhuvneshwar,"Bhuvneshwar to Rahul Tewatia, Four runs",4
40,92,2,14.5,1,Rahul Tewatia,Bhuvneshwar,"Bhuvneshwar to Rahul Tewatia, 1 run",1
40,93,2,14.6,1,Miller,Bhuvneshwar,"Bhuvneshwar to Miller, 1 run",1
40,94,2,15.1,1,Miller,Umran Malik,"Umran Malik to Miller, 1 run",1
40,95,2,15.2,1,Rahul Tewatia,Umran Malik,"Umran Malik to Rahul Tewatia, 1 run",1
40,96,2,15.3,1,Miller,Umran Malik,"Umran Malik to Miller, 1 run",1
40,97,2,15.4,1,Rahul Tewatia,Umran Malik,"Umran Malik to Rahul Tewatia, 1 run",1
40,98,2,15.5,w,Miller,Umran Malik,"Umran Malik to Miller, no run Wicket - b Umran Malik batsmen",0
40,99,2,15.6,1wd,Abhinav Manohar,Umran Malik,"Umran Malik to Abhinav Manohar, 1 wide",1
40,100,2,15.6,w,Abhinav Manohar,Umran Malik,"Umran Malik to Abhinav Manohar, no run Wicket - b Umran Malik batsmen",0
40,101,2,16.1,4,Rahul Tewatia,T Natarajan,"T Natarajan to Rahul Tewatia, Four runs",4
40,102,2,16.2,2,Rahul Tewatia,T Natarajan,"T Natarajan to Rahul Tewatia, 2 runs",2
40,103,2,16.3,1wd,Rahul Tewatia,T Natarajan,"T Natarajan to Rahul Tewatia, 1 wide",1
40,104,2,16.3,0,Rahul Tewatia,T Natarajan,"T Natarajan to Rahul Tewatia, no run",0
40,105,2,16.4,1,Rahul Tewatia,T Natarajan,"T Natarajan to Rahul Tewatia, 1 run",1
40,106,2,16.5,1,Rashid Khan,T Natarajan,"T Natarajan to Rashid Khan, 1 run",1
40,107,2,16.6,0,Rahul Tewatia,T Natarajan,"T Natarajan to Rahul Tewatia, no run",0
40,108,2,17.1,2,Rashid Khan,Bhuvneshwar,"Bhuvneshwar to Rashid Khan, 2 runs",2
